session,acquisition,status
124938x20210527x3T,B0map,deleted
124972x20210525x3T,Localizer_aligned,deleted
124938x20210527x3T,MultiShell_117dir,deleted
125987x20210610x3T,Localizer,deleted
125987x20210610x3T,AAHead_Scout,deleted
125987x20210610x3T,AAHead_Scout_MPR_sag,deleted
124972x20210525x3T,PhoenixZIPReport,deleted
125987x20210610x3T,AAHead_Scout_MPR_cor,deleted
125987x20210610x3T,AAHead_Scout_MPR_tra,deleted
124972x20210525x3T,AAHead_Scout_MPR_tra,deleted
125987x20210610x3T,Localizer_aligned,deleted
124972x20210525x3T,AAHead_Scout_MPR_cor,deleted
125987x20210610x3T,PhoenixZIPReport,deleted
124938x20210527x3T,FLAIR_3D_1x1x1_ND,deleted
124972x20210525x3T,T1_3D_0.8x0.8x0.8_ND,deleted
124972x20210525x3T,AAHead_Scout,deleted
124972x20210525x3T,Mag_Images,deleted
124972x20210525x3T,TOF_3D_multi-slab_MIP_COR,deleted
124972x20210525x3T,TOF_3D_multi-slab_MIP_SAG,deleted
124972x20210525x3T,ASL_3DSpiral_4shot_2.5mm_1Daccel_V20_M0,deleted
124972x20210525x3T,ASL_3DSpiral_4shot_2.5mm_1Daccel_V20_ASL,deleted
124972x20210525x3T,SpinEchoFieldMap_AP,deleted
124972x20210525x3T,SpinEchoFieldMap_PA,deleted
124972x20210525x3T,T2_2D_0.4x0.4x1.2mm_180flip,deleted
124972x20210525x3T,rfMRI_REST_AP,deleted
124972x20210525x3T,rfMRI_REST_PA,deleted
124972x20210525x3T,B0map,deleted
124972x20210525x3T,B0map,deleted
124972x20210525x3T,MultiShell_117dir,deleted
124972x20210525x3T,mIP_Images(SW),deleted
124972x20210525x3T,Pha_Images,deleted
124938x20210527x3T,PhoenixZIPReport,deleted
124972x20210525x3T,SWI_Images,deleted
124972x20210525x3T,Mag_Images_ND,deleted
124972x20210525x3T,Pha_Images_ND,deleted
124972x20210525x3T,SWI_Images_ND,deleted
124972x20210525x3T,T2_2D_0.4x0.4x1.2mm_180flip_ND,deleted
124972x20210525x3T,FLAIR_3D_1x1x1,deleted
124938x20210527x3T,Localizer,deleted
124938x20210527x3T,AAHead_Scout,deleted
124938x20210527x3T,AAHead_Scout_MPR_sag,deleted
124938x20210527x3T,AAHead_Scout_MPR_cor,deleted
124938x20210527x3T,AAHead_Scout_MPR_tra,deleted
124972x20210525x3T,FLAIR_3D_1x1x1_ND,deleted
124938x20210527x3T,Localizer_aligned,deleted
124972x20210525x3T,AAHead_Scout_MPR_sag,deleted
125987x20210610x3T,T1_3D_0.8x0.8x0.8_ND,deleted
122946x20210427x3T,SpinEchoFieldMap_AP,deleted
20090106x1214,DTI_30dir_noDiCo_vox2_1000,deleted
122946x20210427x3T,B0map,deleted
20081008x1021,DTI_30dir_noDiCo_vox2_1000,deleted
20060726x1128,fieldmap_GRE,deleted
20081008x1021,t2_nex_1,deleted
20041103x1130,pd_tse_tra,deleted
20041103x1130,field_map,deleted
20041103x1130,t1_se_sag,deleted
20041103x1130,DTI_12dir,deleted
20041103x1130,t2_tse_tra,deleted
20041103x1130,ep2d_casl_AM_UI_1500ms,deleted
20041103x1130,MoCoSeries,deleted
20041103x1130,localizer,deleted
20041103x1130,field_map,deleted
20090106x1214,csi_se_30,deleted
20081008x1021,MoCoSeries,deleted
122946x20210427x3T,B0map,deleted
20090106x1214,MoCoSeries,deleted
20090106x1214,ep2d_fairest_UI_M0,deleted
122946x20210427x3T,rfMRI_REST_PA,deleted
122946x20210427x3T,rfMRI_REST_AP,deleted
20090106x1214,ep2d_fairest_UI_1500ms,deleted
20090106x1214,ep2d_bold_restingZE6min,deleted
122946x20210427x3T,SpinEchoFieldMap_PA,deleted
20090106x1214,MoCoSeries,deleted
20090106x1214,localizer,deleted
20090106x1214,t2_nex_1,deleted
20090106x1214,DTI_30dir_noDiCo_vox2_1000,deleted
124972x20210525x3T,TOF_3D_multi-slab_MIP_TRA,deleted
20081008x1021,ep2d_fairest_UI_M0,deleted
20081008x1021,MoCoSeries,deleted
125987x20210610x3T,FLAIR_3D_1x1x1_ND,deleted
125987x20210610x3T,rfMRI_REST_PA,deleted
125987x20210610x3T,FLAIR_3D_1x1x1,deleted
125987x20210610x3T,T2_2D_0.4x0.4x1.2mm_180flip_ND,deleted
125987x20210610x3T,T2_2D_0.4x0.4x1.2mm_180flip,deleted
125987x20210610x3T,TOF_3D_multi-slab,deleted
125987x20210610x3T,TOF_3D_multi-slab_MIP_TRA,deleted
125987x20210610x3T,TOF_3D_multi-slab_MIP_COR,deleted
125987x20210610x3T,TOF_3D_multi-slab_MIP_SAG,deleted
125987x20210610x3T,ASL_3DSpiral_4shot_2.5mm_1Daccel_V20_M0,deleted
